,prompt,region,object,img_id,geode_df_path
0,refrigerator,,refrigerator,0,
1,refrigerator,,refrigerator,1,
2,refrigerator,,refrigerator,2,
3,refrigerator,,refrigerator,3,
4,refrigerator,,refrigerator,4,
5,refrigerator,,refrigerator,5,
6,refrigerator,,refrigerator,6,
7,refrigerator,,refrigerator,7,
8,refrigerator,,refrigerator,8,
9,refrigerator,,refrigerator,9,
10,refrigerator,,refrigerator,10,
11,refrigerator,,refrigerator,11,
12,refrigerator,,refrigerator,12,
13,refrigerator,,refrigerator,13,
14,refrigerator,,refrigerator,14,
15,refrigerator,,refrigerator,15,
16,refrigerator,,refrigerator,16,
17,refrigerator,,refrigerator,17,
18,refrigerator,,refrigerator,18,
19,refrigerator,,refrigerator,19,
20,refrigerator,,refrigerator,20,
21,refrigerator,,refrigerator,21,
22,refrigerator,,refrigerator,22,
23,refrigerator,,refrigerator,23,
24,refrigerator,,refrigerator,24,
25,refrigerator,,refrigerator,25,
26,refrigerator,,refrigerator,26,
27,refrigerator,,refrigerator,27,
28,refrigerator,,refrigerator,28,
29,refrigerator,,refrigerator,29,
30,refrigerator,,refrigerator,30,
31,refrigerator,,refrigerator,31,
32,refrigerator,,refrigerator,32,
33,refrigerator,,refrigerator,33,
34,refrigerator,,refrigerator,34,
35,refrigerator,,refrigerator,35,
36,refrigerator,,refrigerator,36,
37,refrigerator,,refrigerator,37,
38,refrigerator,,refrigerator,38,
39,refrigerator,,refrigerator,39,
40,refrigerator,,refrigerator,40,
41,refrigerator,,refrigerator,41,
42,refrigerator,,refrigerator,42,
43,refrigerator,,refrigerator,43,
44,refrigerator,,refrigerator,44,
45,refrigerator,,refrigerator,45,
46,refrigerator,,refrigerator,46,
47,refrigerator,,refrigerator,47,
48,refrigerator,,refrigerator,48,
49,refrigerator,,refrigerator,49,
50,refrigerator,,refrigerator,50,
51,refrigerator,,refrigerator,51,
52,refrigerator,,refrigerator,52,
53,refrigerator,,refrigerator,53,
54,refrigerator,,refrigerator,54,
55,refrigerator,,refrigerator,55,
56,refrigerator,,refrigerator,56,
57,refrigerator,,refrigerator,57,
58,refrigerator,,refrigerator,58,
59,refrigerator,,refrigerator,59,
60,refrigerator,,refrigerator,60,
61,refrigerator,,refrigerator,61,
62,refrigerator,,refrigerator,62,
63,refrigerator,,refrigerator,63,
64,refrigerator,,refrigerator,64,
65,refrigerator,,refrigerator,65,
66,refrigerator,,refrigerator,66,
67,refrigerator,,refrigerator,67,
68,refrigerator,,refrigerator,68,
69,refrigerator,,refrigerator,69,
70,refrigerator,,refrigerator,70,
71,refrigerator,,refrigerator,71,
72,refrigerator,,refrigerator,72,
73,refrigerator,,refrigerator,73,
74,refrigerator,,refrigerator,74,
75,refrigerator,,refrigerator,75,
76,refrigerator,,refrigerator,76,
77,refrigerator,,refrigerator,77,
78,refrigerator,,refrigerator,78,
79,refrigerator,,refrigerator,79,
80,refrigerator,,refrigerator,80,
81,refrigerator,,refrigerator,81,
82,refrigerator,,refrigerator,82,
83,refrigerator,,refrigerator,83,
84,refrigerator,,refrigerator,84,
85,refrigerator,,refrigerator,85,
86,refrigerator,,refrigerator,86,
87,refrigerator,,refrigerator,87,
88,refrigerator,,refrigerator,88,
89,refrigerator,,refrigerator,89,
90,refrigerator,,refrigerator,90,
91,refrigerator,,refrigerator,91,
92,refrigerator,,refrigerator,92,
93,refrigerator,,refrigerator,93,
94,refrigerator,,refrigerator,94,
95,refrigerator,,refrigerator,95,
96,refrigerator,,refrigerator,96,
97,refrigerator,,refrigerator,97,
98,refrigerator,,refrigerator,98,
99,refrigerator,,refrigerator,99,
100,refrigerator,,refrigerator,100,
101,refrigerator,,refrigerator,101,
102,refrigerator,,refrigerator,102,
103,refrigerator,,refrigerator,103,
104,refrigerator,,refrigerator,104,
105,refrigerator,,refrigerator,105,
106,refrigerator,,refrigerator,106,
107,refrigerator,,refrigerator,107,
108,refrigerator,,refrigerator,108,
109,refrigerator,,refrigerator,109,
110,refrigerator,,refrigerator,110,
111,refrigerator,,refrigerator,111,
112,refrigerator,,refrigerator,112,
113,refrigerator,,refrigerator,113,
114,refrigerator,,refrigerator,114,
115,refrigerator,,refrigerator,115,
116,refrigerator,,refrigerator,116,
117,refrigerator,,refrigerator,117,
118,refrigerator,,refrigerator,118,
119,refrigerator,,refrigerator,119,
120,refrigerator,,refrigerator,120,
121,refrigerator,,refrigerator,121,
122,refrigerator,,refrigerator,122,
123,refrigerator,,refrigerator,123,
124,refrigerator,,refrigerator,124,
125,refrigerator,,refrigerator,125,
126,refrigerator,,refrigerator,126,
127,refrigerator,,refrigerator,127,
128,refrigerator,,refrigerator,128,
129,refrigerator,,refrigerator,129,
130,refrigerator,,refrigerator,130,
131,refrigerator,,refrigerator,131,
132,refrigerator,,refrigerator,132,
133,refrigerator,,refrigerator,133,
134,refrigerator,,refrigerator,134,
135,refrigerator,,refrigerator,135,
136,refrigerator,,refrigerator,136,
137,refrigerator,,refrigerator,137,
138,refrigerator,,refrigerator,138,
139,refrigerator,,refrigerator,139,
140,refrigerator,,refrigerator,140,
141,refrigerator,,refrigerator,141,
142,refrigerator,,refrigerator,142,
143,refrigerator,,refrigerator,143,
144,refrigerator,,refrigerator,144,
145,refrigerator,,refrigerator,145,
146,refrigerator,,refrigerator,146,
147,refrigerator,,refrigerator,147,
148,refrigerator,,refrigerator,148,
149,refrigerator,,refrigerator,149,
150,refrigerator,,refrigerator,150,
151,refrigerator,,refrigerator,151,
152,refrigerator,,refrigerator,152,
153,refrigerator,,refrigerator,153,
154,refrigerator,,refrigerator,154,
155,refrigerator,,refrigerator,155,
156,refrigerator,,refrigerator,156,
157,refrigerator,,refrigerator,157,
158,refrigerator,,refrigerator,158,
159,refrigerator,,refrigerator,159,
160,refrigerator,,refrigerator,160,
161,refrigerator,,refrigerator,161,
162,refrigerator,,refrigerator,162,
163,refrigerator,,refrigerator,163,
164,refrigerator,,refrigerator,164,
165,refrigerator,,refrigerator,165,
166,refrigerator,,refrigerator,166,
167,refrigerator,,refrigerator,167,
168,refrigerator,,refrigerator,168,
169,refrigerator,,refrigerator,169,
170,refrigerator,,refrigerator,170,
171,refrigerator,,refrigerator,171,
172,refrigerator,,refrigerator,172,
173,refrigerator,,refrigerator,173,
174,refrigerator,,refrigerator,174,
175,refrigerator,,refrigerator,175,
176,refrigerator,,refrigerator,176,
177,refrigerator,,refrigerator,177,
178,refrigerator,,refrigerator,178,
179,refrigerator,,refrigerator,179,
180,refrigerator,,refrigerator,180,
181,refrigerator,,refrigerator,181,
182,refrigerator,,refrigerator,182,
183,refrigerator,,refrigerator,183,
184,refrigerator,,refrigerator,184,
185,refrigerator,,refrigerator,185,
186,refrigerator,,refrigerator,186,
187,refrigerator,,refrigerator,187,
188,refrigerator,,refrigerator,188,
189,refrigerator,,refrigerator,189,
190,refrigerator,,refrigerator,190,
191,refrigerator,,refrigerator,191,
192,refrigerator,,refrigerator,192,
193,refrigerator,,refrigerator,193,
194,refrigerator,,refrigerator,194,
195,refrigerator,,refrigerator,195,
196,refrigerator,,refrigerator,196,
197,refrigerator,,refrigerator,197,
198,refrigerator,,refrigerator,198,
199,refrigerator,,refrigerator,199,
200,refrigerator,,refrigerator,200,
201,refrigerator,,refrigerator,201,
202,refrigerator,,refrigerator,202,
203,refrigerator,,refrigerator,203,
204,refrigerator,,refrigerator,204,
205,refrigerator,,refrigerator,205,
206,refrigerator,,refrigerator,206,
207,refrigerator,,refrigerator,207,
208,refrigerator,,refrigerator,208,
209,refrigerator,,refrigerator,209,
210,refrigerator,,refrigerator,210,
211,refrigerator,,refrigerator,211,
212,refrigerator,,refrigerator,212,
213,refrigerator,,refrigerator,213,
214,refrigerator,,refrigerator,214,
215,refrigerator,,refrigerator,215,
216,refrigerator,,refrigerator,216,
217,refrigerator,,refrigerator,217,
218,refrigerator,,refrigerator,218,
219,grains,,grains,219,
220,grains,,grains,220,
221,grains,,grains,221,
222,grains,,grains,222,
223,grains,,grains,223,
224,grains,,grains,224,
225,grains,,grains,225,
226,grains,,grains,226,
227,grains,,grains,227,
228,grains,,grains,228,
229,grains,,grains,229,
230,grains,,grains,230,
231,grains,,grains,231,
232,grains,,grains,232,
233,grains,,grains,233,
234,grains,,grains,234,
235,grains,,grains,235,
236,grains,,grains,236,
237,grains,,grains,237,
238,grains,,grains,238,
239,grains,,grains,239,
240,grains,,grains,240,
241,grains,,grains,241,
242,grains,,grains,242,
243,grains,,grains,243,
244,grains,,grains,244,
245,grains,,grains,245,
246,grains,,grains,246,
247,grains,,grains,247,
248,grains,,grains,248,
249,grains,,grains,249,
250,grains,,grains,250,
251,grains,,grains,251,
252,grains,,grains,252,
253,grains,,grains,253,
254,grains,,grains,254,
255,grains,,grains,255,
256,grains,,grains,256,
257,grains,,grains,257,
258,grains,,grains,258,
259,grains,,grains,259,
260,grains,,grains,260,
261,grains,,grains,261,
262,grains,,grains,262,
263,grains,,grains,263,
264,grains,,grains,264,
265,grains,,grains,265,
266,grains,,grains,266,
267,grains,,grains,267,
268,grains,,grains,268,
269,grains,,grains,269,
270,grains,,grains,270,
271,grains,,grains,271,
272,grains,,grains,272,
273,grains,,grains,273,
274,grains,,grains,274,
275,grains,,grains,275,
276,grains,,grains,276,
277,grains,,grains,277,
278,grains,,grains,278,
279,grains,,grains,279,
280,grains,,grains,280,
281,grains,,grains,281,
282,grains,,grains,282,
283,grains,,grains,283,
284,grains,,grains,284,
285,grains,,grains,285,
286,grains,,grains,286,
287,grains,,grains,287,
288,grains,,grains,288,
289,grains,,grains,289,
290,grains,,grains,290,
291,grains,,grains,291,
292,grains,,grains,292,
293,grains,,grains,293,
294,grains,,grains,294,
295,grains,,grains,295,
296,grains,,grains,296,
297,grains,,grains,297,
298,grains,,grains,298,
299,grains,,grains,299,
300,grains,,grains,300,
301,grains,,grains,301,
302,grains,,grains,302,
303,grains,,grains,303,
304,grains,,grains,304,
305,grains,,grains,305,
306,grains,,grains,306,
307,grains,,grains,307,
308,grains,,grains,308,
309,grains,,grains,309,
310,grains,,grains,310,
311,grains,,grains,311,
312,grains,,grains,312,
313,grains,,grains,313,
314,grains,,grains,314,
315,grains,,grains,315,
316,grains,,grains,316,
317,grains,,grains,317,
318,grains,,grains,318,
319,grains,,grains,319,
320,grains,,grains,320,
321,grains,,grains,321,
322,grains,,grains,322,
323,grains,,grains,323,
324,grains,,grains,324,
