,prompt,region,object,country,img_id
0,stall in Italy,Europe,stall,Italy,0
1,stall in Spain,Europe,stall,Spain,1
2,stall in the United Kingdom,Europe,stall,the United Kingdom,2
3,stall in Italy,Europe,stall,Italy,3
4,stall in Spain,Europe,stall,Spain,4
5,stall in the United Kingdom,Europe,stall,the United Kingdom,5
6,stall in Italy,Europe,stall,Italy,6
7,stall in Spain,Europe,stall,Spain,7
8,stall in the United Kingdom,Europe,stall,the United Kingdom,8
9,stall in Italy,Europe,stall,Italy,9
10,stall in Spain,Europe,stall,Spain,10
11,stall in the United Kingdom,Europe,stall,the United Kingdom,11
12,stall in Italy,Europe,stall,Italy,12
13,stall in Spain,Europe,stall,Spain,13
14,stall in the United Kingdom,Europe,stall,the United Kingdom,14
15,stall in Italy,Europe,stall,Italy,15
16,stall in Spain,Europe,stall,Spain,16
17,stall in the United Kingdom,Europe,stall,the United Kingdom,17
18,stall in Italy,Europe,stall,Italy,18
19,stall in Spain,Europe,stall,Spain,19
20,stall in the United Kingdom,Europe,stall,the United Kingdom,20
21,stall in Italy,Europe,stall,Italy,21
22,stall in Spain,Europe,stall,Spain,22
23,stall in the United Kingdom,Europe,stall,the United Kingdom,23
24,stall in Italy,Europe,stall,Italy,24
25,stall in Spain,Europe,stall,Spain,25
26,stall in the United Kingdom,Europe,stall,the United Kingdom,26
27,stall in Italy,Europe,stall,Italy,27
28,stall in Spain,Europe,stall,Spain,28
29,stall in the United Kingdom,Europe,stall,the United Kingdom,29
30,stall in Italy,Europe,stall,Italy,30
31,stall in Spain,Europe,stall,Spain,31
32,stall in the United Kingdom,Europe,stall,the United Kingdom,32
33,stall in Italy,Europe,stall,Italy,33
34,stall in Spain,Europe,stall,Spain,34
35,stall in the United Kingdom,Europe,stall,the United Kingdom,35
36,stall in Italy,Europe,stall,Italy,36
37,stall in Spain,Europe,stall,Spain,37
38,stall in the United Kingdom,Europe,stall,the United Kingdom,38
39,stall in Italy,Europe,stall,Italy,39
40,stall in Spain,Europe,stall,Spain,40
41,stall in the United Kingdom,Europe,stall,the United Kingdom,41
42,stall in Italy,Europe,stall,Italy,42
43,stall in Spain,Europe,stall,Spain,43
44,stall in the United Kingdom,Europe,stall,the United Kingdom,44
45,stall in Italy,Europe,stall,Italy,45
46,stall in Spain,Europe,stall,Spain,46
47,stall in the United Kingdom,Europe,stall,the United Kingdom,47
48,stall in Italy,Europe,stall,Italy,48
49,stall in Spain,Europe,stall,Spain,49
50,stall in the United Kingdom,Europe,stall,the United Kingdom,50
51,stall in Italy,Europe,stall,Italy,51
52,stall in Spain,Europe,stall,Spain,52
53,stall in the United Kingdom,Europe,stall,the United Kingdom,53
54,stall in Italy,Europe,stall,Italy,54
55,stall in Spain,Europe,stall,Spain,55
56,stall in the United Kingdom,Europe,stall,the United Kingdom,56
57,stall in Italy,Europe,stall,Italy,57
58,stall in Spain,Europe,stall,Spain,58
59,stall in the United Kingdom,Europe,stall,the United Kingdom,59
60,stall in Italy,Europe,stall,Italy,60
61,stall in Spain,Europe,stall,Spain,61
62,stall in the United Kingdom,Europe,stall,the United Kingdom,62
63,stall in Italy,Europe,stall,Italy,63
64,stall in Spain,Europe,stall,Spain,64
65,stall in the United Kingdom,Europe,stall,the United Kingdom,65
66,stall in Italy,Europe,stall,Italy,66
67,stall in Spain,Europe,stall,Spain,67
68,stall in the United Kingdom,Europe,stall,the United Kingdom,68
69,stall in Italy,Europe,stall,Italy,69
70,stall in Spain,Europe,stall,Spain,70
71,stall in the United Kingdom,Europe,stall,the United Kingdom,71
72,stall in Italy,Europe,stall,Italy,72
73,stall in Spain,Europe,stall,Spain,73
74,stall in the United Kingdom,Europe,stall,the United Kingdom,74
75,stall in Italy,Europe,stall,Italy,75
76,stall in Spain,Europe,stall,Spain,76
77,stall in the United Kingdom,Europe,stall,the United Kingdom,77
78,stall in Italy,Europe,stall,Italy,78
79,stall in Spain,Europe,stall,Spain,79
80,stall in the United Kingdom,Europe,stall,the United Kingdom,80
81,stall in Italy,Europe,stall,Italy,81
82,stall in Spain,Europe,stall,Spain,82
83,stall in the United Kingdom,Europe,stall,the United Kingdom,83
84,stall in Italy,Europe,stall,Italy,84
85,stall in Spain,Europe,stall,Spain,85
86,stall in the United Kingdom,Europe,stall,the United Kingdom,86
87,stall in Italy,Europe,stall,Italy,87
88,stall in Spain,Europe,stall,Spain,88
89,stall in the United Kingdom,Europe,stall,the United Kingdom,89
90,stall in Italy,Europe,stall,Italy,90
91,stall in Spain,Europe,stall,Spain,91
92,stall in the United Kingdom,Europe,stall,the United Kingdom,92
93,stall in Italy,Europe,stall,Italy,93
94,stall in Spain,Europe,stall,Spain,94
95,stall in the United Kingdom,Europe,stall,the United Kingdom,95
96,stall in Italy,Europe,stall,Italy,96
97,stall in Spain,Europe,stall,Spain,97
98,stall in the United Kingdom,Europe,stall,the United Kingdom,98
99,stall in Italy,Europe,stall,Italy,99
100,stall in Spain,Europe,stall,Spain,100
101,stall in the United Kingdom,Europe,stall,the United Kingdom,101
102,stall in Italy,Europe,stall,Italy,102
103,stall in Spain,Europe,stall,Spain,103
104,stall in the United Kingdom,Europe,stall,the United Kingdom,104
105,stall in Italy,Europe,stall,Italy,105
106,stall in Spain,Europe,stall,Spain,106
107,stall in the United Kingdom,Europe,stall,the United Kingdom,107
108,stall in Italy,Europe,stall,Italy,108
109,stall in Spain,Europe,stall,Spain,109
110,stall in the United Kingdom,Europe,stall,the United Kingdom,110
111,stall in Italy,Europe,stall,Italy,111
112,stall in Spain,Europe,stall,Spain,112
113,stall in the United Kingdom,Europe,stall,the United Kingdom,113
114,stall in Italy,Europe,stall,Italy,114
115,stall in Spain,Europe,stall,Spain,115
116,stall in the United Kingdom,Europe,stall,the United Kingdom,116
117,stall in Italy,Europe,stall,Italy,117
118,stall in Spain,Europe,stall,Spain,118
119,stall in the United Kingdom,Europe,stall,the United Kingdom,119
120,stall in Italy,Europe,stall,Italy,120
121,stall in Spain,Europe,stall,Spain,121
122,stall in the United Kingdom,Europe,stall,the United Kingdom,122
123,stall in Italy,Europe,stall,Italy,123
124,stall in Spain,Europe,stall,Spain,124
125,stall in the United Kingdom,Europe,stall,the United Kingdom,125
126,stall in Italy,Europe,stall,Italy,126
127,stall in Spain,Europe,stall,Spain,127
128,stall in the United Kingdom,Europe,stall,the United Kingdom,128
129,stall in Italy,Europe,stall,Italy,129
130,stall in Spain,Europe,stall,Spain,130
131,stall in the United Kingdom,Europe,stall,the United Kingdom,131
132,stall in Italy,Europe,stall,Italy,132
133,stall in Spain,Europe,stall,Spain,133
134,stall in the United Kingdom,Europe,stall,the United Kingdom,134
135,stall in Italy,Europe,stall,Italy,135
136,stall in Spain,Europe,stall,Spain,136
137,stall in the United Kingdom,Europe,stall,the United Kingdom,137
138,stall in Italy,Europe,stall,Italy,138
139,stall in Spain,Europe,stall,Spain,139
140,stall in the United Kingdom,Europe,stall,the United Kingdom,140
141,stall in Italy,Europe,stall,Italy,141
142,stall in Spain,Europe,stall,Spain,142
143,stall in the United Kingdom,Europe,stall,the United Kingdom,143
144,stall in Italy,Europe,stall,Italy,144
145,stall in Spain,Europe,stall,Spain,145
146,stall in the United Kingdom,Europe,stall,the United Kingdom,146
147,stall in Italy,Europe,stall,Italy,147
148,stall in Spain,Europe,stall,Spain,148
149,stall in the United Kingdom,Europe,stall,the United Kingdom,149
150,stall in Italy,Europe,stall,Italy,150
151,stall in Spain,Europe,stall,Spain,151
152,stall in the United Kingdom,Europe,stall,the United Kingdom,152
153,stall in Italy,Europe,stall,Italy,153
154,stall in Spain,Europe,stall,Spain,154
155,stall in the United Kingdom,Europe,stall,the United Kingdom,155
156,stall in Italy,Europe,stall,Italy,156
157,stall in Spain,Europe,stall,Spain,157
158,stall in the United Kingdom,Europe,stall,the United Kingdom,158
159,stall in Italy,Europe,stall,Italy,159
160,stall in Spain,Europe,stall,Spain,160
161,stall in the United Kingdom,Europe,stall,the United Kingdom,161
162,stall in Italy,Europe,stall,Italy,162
163,stall in Spain,Europe,stall,Spain,163
164,stall in the United Kingdom,Europe,stall,the United Kingdom,164
165,stall in Italy,Europe,stall,Italy,165
166,stall in Spain,Europe,stall,Spain,166
167,stall in the United Kingdom,Europe,stall,the United Kingdom,167
168,stall in Italy,Europe,stall,Italy,168
169,stall in Spain,Europe,stall,Spain,169
170,stall in the United Kingdom,Europe,stall,the United Kingdom,170
171,stall in Italy,Europe,stall,Italy,171
172,stall in Spain,Europe,stall,Spain,172
173,stall in the United Kingdom,Europe,stall,the United Kingdom,173
174,stall in Italy,Europe,stall,Italy,174
175,stall in Spain,Europe,stall,Spain,175
176,stall in the United Kingdom,Europe,stall,the United Kingdom,176
177,stall in Italy,Europe,stall,Italy,177
178,stall in Spain,Europe,stall,Spain,178
179,stall in the United Kingdom,Europe,stall,the United Kingdom,179
180,stall in Italy,Europe,stall,Italy,180
181,stall in Spain,Europe,stall,Spain,181
182,stall in the United Kingdom,Europe,stall,the United Kingdom,182
183,stall in Italy,Europe,stall,Italy,183
184,stall in Spain,Europe,stall,Spain,184
185,stall in the United Kingdom,Europe,stall,the United Kingdom,185
186,stall in Italy,Europe,stall,Italy,186
187,stall in Spain,Europe,stall,Spain,187
188,stall in the United Kingdom,Europe,stall,the United Kingdom,188
189,stall in Italy,Europe,stall,Italy,189
190,stall in Spain,Europe,stall,Spain,190
191,stall in the United Kingdom,Europe,stall,the United Kingdom,191
192,stall in Italy,Europe,stall,Italy,192
193,stall in Spain,Europe,stall,Spain,193
194,stall in the United Kingdom,Europe,stall,the United Kingdom,194
195,stall in Italy,Europe,stall,Italy,195
196,stall in Spain,Europe,stall,Spain,196
197,stall in the United Kingdom,Europe,stall,the United Kingdom,197
198,stall in Italy,Europe,stall,Italy,198
199,stall in Spain,Europe,stall,Spain,199
200,stall in the United Kingdom,Europe,stall,the United Kingdom,200
201,stall in Italy,Europe,stall,Italy,201
202,stall in Spain,Europe,stall,Spain,202
203,stall in the United Kingdom,Europe,stall,the United Kingdom,203
204,stall in Italy,Europe,stall,Italy,204
205,stall in Nigeria,Africa,stall,Nigeria,205
206,stall in South Africa,Africa,stall,South Africa,206
207,stall in Egypt,Africa,stall,Egypt,207
208,stall in Nigeria,Africa,stall,Nigeria,208
209,stall in South Africa,Africa,stall,South Africa,209
210,stall in Egypt,Africa,stall,Egypt,210
211,stall in Nigeria,Africa,stall,Nigeria,211
212,stall in South Africa,Africa,stall,South Africa,212
213,stall in Egypt,Africa,stall,Egypt,213
214,stall in Nigeria,Africa,stall,Nigeria,214
215,stall in South Africa,Africa,stall,South Africa,215
216,stall in Egypt,Africa,stall,Egypt,216
217,stall in Nigeria,Africa,stall,Nigeria,217
218,stall in South Africa,Africa,stall,South Africa,218
219,stall in Egypt,Africa,stall,Egypt,219
220,stall in Nigeria,Africa,stall,Nigeria,220
221,stall in South Africa,Africa,stall,South Africa,221
222,stall in Egypt,Africa,stall,Egypt,222
223,stall in Nigeria,Africa,stall,Nigeria,223
224,stall in South Africa,Africa,stall,South Africa,224
225,stall in Egypt,Africa,stall,Egypt,225
226,stall in Nigeria,Africa,stall,Nigeria,226
227,stall in South Africa,Africa,stall,South Africa,227
228,stall in Egypt,Africa,stall,Egypt,228
