,img_path,object,region,annotator_id,annotator_loc,annotation_result
0,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32123.jpg,plate_of_food,SouthEastAsia,0,Africa,"{'obj': ['af'], 'match': 'ym', 'geo': ['af']}"
1,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32123.jpg,plate_of_food,SouthEastAsia,1,SouthEastAsia,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
2,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32123.jpg,plate_of_food,SouthEastAsia,2,Europe,"{'match': 'ym', 'obj': ['af'], 'geo': ['eu']}"
3,SouthEastAsia_Indonesia_Indonesia_bag_436.jpg,bag,SouthEastAsia,1,SouthEastAsia,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
4,SouthEastAsia_Indonesia_Indonesia_bag_436.jpg,bag,SouthEastAsia,3,Europe,"{'match': 'ym', 'obj': ['eu'], 'geo': ['na']}"
5,SouthEastAsia_Indonesia_Indonesia_bag_436.jpg,bag,SouthEastAsia,4,Africa,"{'match': 'ym', 'obj': ['eu'], 'geo': ['na']}"
6,Africa_Nigeria_Nigeria_bag_1111.jpg,bag,Africa,1,SouthEastAsia,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
7,Africa_Nigeria_Nigeria_bag_1111.jpg,bag,Africa,2,Europe,"{'match': 'ym', 'obj': ['af'], 'geo': ['af']}"
8,Africa_Nigeria_Nigeria_bag_1111.jpg,bag,Africa,5,Africa,"{'obj': ['na'], 'match': 'ym', 'geo': ['na']}"
9,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32157.jpg,plate_of_food,SouthEastAsia,0,Africa,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
10,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32157.jpg,plate_of_food,SouthEastAsia,6,SouthEastAsia,"{'match': 'ym', 'obj': ['af'], 'geo': ['af']}"
11,SouthEastAsia_Indonesia_Indonesia_plate_of_food_32157.jpg,plate_of_food,SouthEastAsia,7,Europe,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
12,SouthEastAsia_Indonesia_Indonesia_plate_of_food_51527.jpg,plate_of_food,SouthEastAsia,0,Africa,"{'match': 'ym', 'obj': ['af'], 'geo': ['af']}"
13,SouthEastAsia_Indonesia_Indonesia_plate_of_food_51527.jpg,plate_of_food,SouthEastAsia,8,SouthEastAsia,"{'match': 'ym', 'obj': ['sea'], 'geo': ['sea']}"
