,prompt,region,object,country,img_id,geode_df_path
0,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,0,
1,refrigerator in Serbia,Europe,refrigerator,Serbia,1,
2,refrigerator in Spain,Europe,refrigerator,Spain,2,
3,refrigerator in France,Europe,refrigerator,France,3,
4,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,4,
5,refrigerator in Serbia,Europe,refrigerator,Serbia,5,
6,refrigerator in Spain,Europe,refrigerator,Spain,6,
7,refrigerator in France,Europe,refrigerator,France,7,
8,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,8,
9,refrigerator in Serbia,Europe,refrigerator,Serbia,9,
10,refrigerator in Spain,Europe,refrigerator,Spain,10,
11,refrigerator in France,Europe,refrigerator,France,11,
12,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,12,
13,refrigerator in Serbia,Europe,refrigerator,Serbia,13,
14,refrigerator in Spain,Europe,refrigerator,Spain,14,
15,refrigerator in France,Europe,refrigerator,France,15,
16,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,16,
17,refrigerator in Serbia,Europe,refrigerator,Serbia,17,
18,refrigerator in Spain,Europe,refrigerator,Spain,18,
19,refrigerator in France,Europe,refrigerator,France,19,
20,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,20,
21,refrigerator in Serbia,Europe,refrigerator,Serbia,21,
22,refrigerator in Spain,Europe,refrigerator,Spain,22,
23,refrigerator in France,Europe,refrigerator,France,23,
24,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,24,
25,refrigerator in Serbia,Europe,refrigerator,Serbia,25,
26,refrigerator in Spain,Europe,refrigerator,Spain,26,
27,refrigerator in France,Europe,refrigerator,France,27,
28,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,28,
29,refrigerator in Serbia,Europe,refrigerator,Serbia,29,
30,refrigerator in Spain,Europe,refrigerator,Spain,30,
31,refrigerator in France,Europe,refrigerator,France,31,
32,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,32,
33,refrigerator in Serbia,Europe,refrigerator,Serbia,33,
34,refrigerator in Spain,Europe,refrigerator,Spain,34,
35,refrigerator in France,Europe,refrigerator,France,35,
36,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,36,
37,refrigerator in Serbia,Europe,refrigerator,Serbia,37,
38,refrigerator in Spain,Europe,refrigerator,Spain,38,
39,refrigerator in France,Europe,refrigerator,France,39,
40,refrigerator in the Netherlands,Europe,refrigerator,the Netherlands,40,
41,refrigerator in Serbia,Europe,refrigerator,Serbia,41,
